Process_Name,P_id,Process_Username
System Idle Process,0,NT AUTHORITY\SYSTEM
System,4,NT AUTHORITY\SYSTEM
fontdrvhost.exe,8,Font Driver Host\UMFD-0
Registry,100,NT AUTHORITY\SYSTEM
smss.exe,464,NT AUTHORITY\SYSTEM
chrome.exe,520,DESKTOP-G9FTNSD\Yogesh
svchost.exe,624,NT AUTHORITY\SYSTEM
audiodg.exe,640,NT AUTHORITY\LOCAL SERVICE
csrss.exe,720,NT AUTHORITY\SYSTEM
wininit.exe,840,NT AUTHORITY\SYSTEM
services.exe,888,NT AUTHORITY\SYSTEM
lsass.exe,908,NT AUTHORITY\SYSTEM
svchost.exe,1056,NT AUTHORITY\NETWORK SERVICE
svchost.exe,1120,NT AUTHORITY\SYSTEM
chrome.exe,1184,DESKTOP-G9FTNSD\Yogesh
svchost.exe,1312,NT AUTHORITY\LOCAL SERVICE
svchost.exe,1384,NT AUTHORITY\LOCAL SERVICE
svchost.exe,1392,NT AUTHORITY\SYSTEM
svchost.exe,1432,NT AUTHORITY\NETWORK SERVICE
svchost.exe,1480,NT AUTHORITY\LOCAL SERVICE
svchost.exe,1504,NT AUTHORITY\SYSTEM
svchost.exe,1528,NT AUTHORITY\SYSTEM
svchost.exe,1540,NT AUTHORITY\SYSTEM
svchost.exe,1556,NT AUTHORITY\NETWORK SERVICE
svchost.exe,1648,NT AUTHORITY\SYSTEM
NVDisplay.Container.exe,1724,NT AUTHORITY\SYSTEM
svchost.exe,1808,NT AUTHORITY\LOCAL SERVICE
svchost.exe,1840,NT AUTHORITY\SYSTEM
svchost.exe,1848,NT AUTHORITY\LOCAL SERVICE
svchost.exe,1860,NT AUTHORITY\SYSTEM
wsc_proxy.exe,1868,NT AUTHORITY\SYSTEM
svchost.exe,1952,NT AUTHORITY\LOCAL SERVICE
svchost.exe,2012,NT AUTHORITY\SYSTEM
MemCompression,2020,NT AUTHORITY\SYSTEM
igfxCUIService.exe,2056,NT AUTHORITY\SYSTEM
svchost.exe,2144,NT AUTHORITY\SYSTEM
explorer.exe,2348,DESKTOP-G9FTNSD\Yogesh
svchost.exe,2368,NT AUTHORITY\SYSTEM
svchost.exe,2376,NT AUTHORITY\LOCAL SERVICE
svchost.exe,2408,NT AUTHORITY\SYSTEM
Notepad.exe,2424,DESKTOP-G9FTNSD\Yogesh
svchost.exe,2644,NT AUTHORITY\LOCAL SERVICE
svchost.exe,2704,NT AUTHORITY\LOCAL SERVICE
svchost.exe,2744,NT AUTHORITY\LOCAL SERVICE
svchost.exe,2764,NT AUTHORITY\LOCAL SERVICE
SearchFilterHost.exe,2828,NT AUTHORITY\SYSTEM
svchost.exe,2924,NT AUTHORITY\SYSTEM
svchost.exe,2928,NT AUTHORITY\LOCAL SERVICE
svchost.exe,2992,NT AUTHORITY\LOCAL SERVICE
AvastSvc.exe,3104,NT AUTHORITY\SYSTEM
svchost.exe,3112,NT AUTHORITY\SYSTEM
svchost.exe,3136,NT AUTHORITY\SYSTEM
spoolsv.exe,3172,NT AUTHORITY\SYSTEM
svchost.exe,3236,NT AUTHORITY\SYSTEM
Microsoft.Photos.exe,3244,DESKTOP-G9FTNSD\Yogesh
svchost.exe,3312,NT AUTHORITY\LOCAL SERVICE
smartscreen.exe,3440,DESKTOP-G9FTNSD\Yogesh
svchost.exe,3564,NT AUTHORITY\NETWORK SERVICE
ApplicationFrameHost.exe,3760,DESKTOP-G9FTNSD\Yogesh
UserOOBEBroker.exe,3824,DESKTOP-G9FTNSD\Yogesh
AggregatorHost.exe,3924,NT AUTHORITY\SYSTEM
RuntimeBroker.exe,3940,DESKTOP-G9FTNSD\Yogesh
